"Connector settings","Настройка связки"
"SalesManago_Tracking::Enabled","Включен"
"Yes","да"
"No","Нет"
"Client ID","ИН клиента"
"API secret code","API secret code"
"Main owner E-mail","Емейл"
"End point address","End point address"
"Newsletter subscription tags","Тег подписки на рассылку"
"Sign up tag","Тег регестрации"
"Purchase tag","Тег покупки"
"Custom JS code","Пользовательский JS-код"
"Connection Timeout","Время ожидания подключения"
"If you want to use more tags, separate them with a comma","Если Вы хотите использовать несколько тегов, разделяйте их запятой"
"Limit the maximum execution time in ms (optional)","Лимит максимального времени выполнения в ms (дополнительно) "
